Date,Open,High,Low,Close,Adj Close,Volume
2019-08-14,40.900002,41.450001,40.799999,41.349998,41.349998,7444472
2019-08-15,41.700001,42.349998,41.700001,41.799999,41.799999,14261614
2019-08-16,42.000000,42.750000,41.950001,42.700001,42.700001,11034167
2019-08-19,43.099998,43.349998,42.549999,42.599998,42.599998,10827496
2019-08-20,42.599998,42.650002,42.099998,42.500000,42.500000,6916197
2019-08-21,42.500000,42.700001,42.049999,42.049999,42.049999,4871358
2019-08-22,42.500000,42.500000,41.900002,41.950001,41.950001,6534998
2019-08-23,41.950001,42.500000,41.950001,42.500000,42.500000,5447902
2019-08-26,42.049999,42.400002,41.950001,42.250000,42.250000,4767498
2019-08-27,42.299999,42.400002,41.750000,41.750000,41.750000,10667163
2019-08-28,41.900002,42.349998,41.900002,42.049999,42.049999,3965172
2019-08-29,42.400002,42.400002,42.049999,42.150002,42.150002,4671440
2019-08-30,42.500000,43.000000,42.500000,43.000000,43.000000,9546956
2019-09-02,43.049999,43.700001,43.049999,43.650002,43.650002,10011242
2019-09-03,43.849998,44.500000,43.650002,44.299999,44.299999,11053051
2019-09-04,44.200001,44.349998,43.900002,44.049999,44.049999,6459736
2019-09-05,44.049999,44.450001,44.049999,44.049999,44.049999,5578490
2019-09-06,44.299999,44.299999,43.849998,43.849998,43.849998,7497900
2019-09-10,44.950001,45.049999,43.700001,43.849998,43.849998,7928773
2019-09-11,43.849998,44.349998,43.250000,43.650002,43.650002,9063527
2019-09-12,44.000000,44.299999,43.799999,43.799999,43.799999,5785680
2019-09-16,44.000000,44.700001,43.900002,44.250000,44.250000,6736157
2019-09-17,44.250000,44.349998,43.849998,44.000000,44.000000,4317998
2019-09-18,44.049999,44.299999,43.950001,44.000000,44.000000,6711951
2019-09-19,44.049999,44.150002,43.549999,43.599998,43.599998,7036436
2019-09-20,43.650002,43.900002,43.500000,43.650002,43.650002,7163427
2019-09-23,43.650002,43.650002,43.099998,43.150002,43.150002,9199111
2019-09-24,43.450001,43.549999,43.049999,43.299999,43.299999,6551067
2019-09-25,43.650002,43.650002,43.049999,43.250000,43.250000,7782473
2019-09-26,43.500000,43.549999,43.200001,43.450001,43.450001,4437357
2019-09-27,43.599998,43.650002,43.200001,43.299999,43.299999,4386443
2019-10-01,43.250000,43.450001,43.000000,43.250000,43.250000,5813916
2019-10-02,43.000000,43.049999,42.599998,42.700001,42.700001,4833276
2019-10-03,42.299999,43.150002,42.250000,42.349998,42.349998,6749839
2019-10-04,42.299999,42.549999,41.900002,42.049999,42.049999,6964440
2019-10-07,42.200001,42.400002,42.049999,42.400002,42.400002,1930978
2019-10-08,42.400002,43.000000,42.400002,42.849998,42.849998,5230447
2019-10-09,42.849998,43.000000,42.250000,42.299999,42.299999,5475908
2019-10-14,42.650002,42.900002,42.549999,42.900002,42.900002,4264511
2019-10-15,42.900002,43.049999,42.450001,43.000000,43.000000,4846452
2019-10-16,43.000000,43.049999,42.549999,42.750000,42.750000,6584981
2019-10-17,43.049999,43.500000,43.000000,43.400002,43.400002,9602671
2019-10-18,43.450001,43.849998,43.400002,43.500000,43.500000,13505725
2019-10-21,43.549999,44.299999,43.549999,44.200001,44.200001,8278742
2019-10-22,44.400002,44.849998,44.150002,44.150002,44.150002,8256594
2019-10-23,43.950001,44.000000,43.599998,43.750000,43.750000,5871267
2019-10-24,43.950001,44.349998,43.799999,43.950001,43.950001,5550142
2019-10-25,43.900002,43.950001,43.450001,43.700001,43.700001,6114581
2019-10-28,44.000000,44.049999,43.500000,43.500000,43.500000,3569709
2019-10-29,43.599998,43.700001,43.299999,43.500000,43.500000,6854837
2019-10-30,43.500000,43.599998,42.849998,43.349998,43.349998,10716264
2019-10-31,43.500000,43.650002,43.049999,43.049999,43.049999,12348490
2019-11-01,43.049999,43.299999,43.000000,43.099998,43.099998,5092631
2019-11-04,43.200001,43.549999,43.099998,43.500000,43.500000,7211026
2019-11-05,43.500000,43.599998,43.200001,43.450001,43.450001,6257346
2019-11-06,43.450001,43.500000,43.099998,43.099998,43.099998,7251702
2019-11-07,43.200001,43.400002,42.950001,43.150002,43.150002,6478379
2019-11-08,43.349998,43.349998,43.099998,43.299999,43.299999,4402850
2019-11-11,43.099998,43.099998,42.700001,42.799999,42.799999,5757678
2019-11-12,42.849998,43.049999,42.750000,42.799999,42.799999,6311593
2019-11-13,43.049999,43.200001,42.750000,42.849998,42.849998,5945553
2019-11-14,43.000000,43.599998,42.799999,43.299999,43.299999,10574530
2019-11-15,43.799999,44.750000,43.500000,44.750000,44.750000,18431527
2019-11-18,45.000000,45.099998,44.549999,44.849998,44.849998,12579068
2019-11-19,44.500000,45.049999,44.099998,45.049999,45.049999,9641949
2019-11-20,45.049999,46.299999,44.799999,46.200001,46.200001,22599180
2019-11-21,46.299999,46.349998,45.650002,46.150002,46.150002,11422256
2019-11-22,46.250000,46.450001,45.900002,46.450001,46.450001,6633534
2019-11-25,46.450001,46.450001,45.900002,46.150002,46.150002,10087901
2019-11-26,46.150002,46.700001,46.000000,46.099998,46.099998,18343612
2019-11-27,46.099998,46.450001,45.900002,46.450001,46.450001,5649277
2019-11-28,46.450001,46.450001,46.049999,46.250000,46.250000,4697621
2019-11-29,46.150002,46.250000,45.349998,45.450001,45.450001,10445804
2019-12-02,45.700001,45.900002,44.950001,45.099998,45.099998,10635398
2019-12-03,45.099998,46.500000,45.049999,46.000000,46.000000,11915246
2019-12-04,46.000000,46.200001,45.599998,46.099998,46.099998,6299636
2019-12-05,46.099998,46.099998,45.650002,45.799999,45.799999,7298035
2019-12-06,45.799999,46.500000,45.700001,46.450001,46.450001,9053787
2019-12-09,46.200001,46.650002,46.099998,46.349998,46.349998,9661121
2019-12-10,46.150002,46.500000,46.099998,46.299999,46.299999,5779919
2019-12-11,47.000000,47.000000,46.400002,46.799999,46.799999,11695383
2019-12-12,47.000000,47.450001,46.599998,47.450001,47.450001,14132643
2019-12-13,47.599998,47.849998,47.000000,47.400002,47.400002,13183356
2019-12-16,47.599998,47.650002,47.099998,47.150002,47.150002,11117
2019-12-17,47.400002,47.650002,47.000000,47.650002,47.650002,9180593
2019-12-18,47.650002,48.000000,47.549999,47.950001,47.950001,6952800
2019-12-19,47.950001,48.000000,47.599998,47.700001,47.700001,8032607
2019-12-20,47.700001,48.200001,47.450001,47.799999,47.799999,19976449
2019-12-23,47.799999,48.250000,47.500000,48.150002,48.150002,14369205
2019-12-24,48.200001,48.250000,47.599998,47.599998,47.599998,14117619
2019-12-25,47.700001,48.049999,46.950001,47.250000,47.250000,8697822
2019-12-26,47.400002,47.450001,47.049999,47.299999,47.299999,6886642
2019-12-27,47.500000,47.700001,47.200001,47.700001,47.700001,7367788
2019-12-30,47.700001,48.750000,47.599998,48.150002,48.150002,14653220
2019-12-31,48.150002,48.299999,47.900002,47.950001,47.950001,7053510
2020-01-02,48.099998,49.000000,48.049999,48.900002,48.900002,8890485
2020-01-03,49.900002,49.900002,48.099998,48.799999,48.799999,9353803
2020-01-06,48.500000,48.500000,47.900002,48.299999,48.299999,8721686
2020-01-07,48.150002,48.500000,47.849998,48.349998,48.349998,8580403
2020-01-08,47.900002,48.549999,47.849998,48.549999,48.549999,7739971
2020-01-09,48.549999,49.000000,48.500000,48.950001,48.950001,5980170
2020-01-10,48.950001,48.950001,48.450001,48.599998,48.599998,5072608
2020-01-13,48.849998,49.150002,48.650002,48.950001,48.950001,7605485
2020-01-14,48.900002,49.049999,48.750000,49.000000,49.000000,6556581
2020-01-15,48.900002,49.150002,48.349998,48.500000,48.500000,7897581
2020-01-16,48.450001,48.650002,48.299999,48.500000,48.500000,5450749
2020-01-17,48.599998,48.950001,48.500000,48.849998,48.849998,3978780
2020-01-20,49.000000,49.000000,48.599998,48.700001,48.700001,4890759
2020-01-30,46.299999,46.700001,44.700001,44.900002,44.900002,28286462
2020-01-31,45.200001,45.900002,45.049999,45.150002,45.150002,17190749
2020-02-03,43.700001,45.099998,42.650002,45.000000,45.000000,14750980
2020-02-04,47.599998,47.650002,45.500000,45.500000,45.500000,12369585
2020-02-05,45.500000,45.500000,44.900002,45.099998,45.099998,11926255
2020-02-06,45.200001,46.049999,45.200001,45.950001,45.950001,8615760
2020-02-07,45.349998,45.950001,45.200001,45.799999,45.799999,7168123
2020-02-10,45.299999,46.000000,45.000000,45.799999,45.799999,6818988
2020-02-11,45.700001,46.000000,45.500000,46.000000,46.000000,5592624
2020-02-12,46.000000,46.299999,45.750000,46.099998,46.099998,5974096
2020-02-13,46.000000,46.450001,45.849998,46.450001,46.450001,7882296
2020-02-14,46.349998,46.950001,46.200001,46.950001,46.950001,9165278
2020-02-17,46.599998,46.950001,46.349998,46.950001,46.950001,5510177
2020-02-18,46.500000,47.349998,46.500000,47.349998,47.349998,5737885
2020-02-19,47.299999,47.450001,47.150002,47.200001,47.200001,4222287
2020-02-20,47.000000,47.200001,45.849998,46.150002,46.150002,10395368
2020-02-21,46.049999,46.500000,45.450001,46.250000,46.250000,8108780
2020-02-24,45.650002,46.250000,45.299999,46.150002,46.150002,8537295
2020-02-25,45.049999,45.250000,44.799999,44.849998,44.849998,18606637
2020-02-26,44.099998,44.799999,43.750000,44.299999,44.299999,13691964
2020-02-27,44.250000,45.049999,44.049999,44.349998,44.349998,11306775
2020-03-02,43.000000,44.450001,43.000000,43.900002,43.900002,15205546
2020-03-03,44.150002,44.500000,43.099998,43.099998,43.099998,19215183
2020-03-04,43.099998,43.650002,43.049999,43.400002,43.400002,7448926
2020-03-05,43.500000,43.750000,43.400002,43.549999,43.549999,5738844
2020-03-06,43.549999,43.700001,43.250000,43.650002,43.650002,7562483
2020-03-09,43.150002,43.599998,42.950001,43.200001,43.200001,10254853
2020-03-10,42.799999,43.500000,41.500000,42.000000,42.000000,13476529
2020-03-11,42.000000,43.250000,41.849998,42.549999,42.549999,12100948
2020-03-12,42.299999,42.349998,41.400002,41.400002,41.400002,15453135
2020-03-13,38.700001,41.200001,38.650002,41.000000,41.000000,19503092
2020-03-16,41.000000,41.000000,39.799999,39.799999,39.799999,13706288
2020-03-17,39.650002,39.799999,38.250000,38.250000,38.250000,18330938
2020-03-18,38.200001,38.750000,37.500000,37.500000,37.500000,10728627
2020-03-19,35.549999,36.950001,35.200001,35.650002,35.650002,19288242
2020-03-20,36.049999,39.200001,36.000000,39.200001,39.200001,13768250
2020-03-23,37.099998,39.400002,36.500000,38.099998,38.099998,11167845
2020-03-24,39.500000,40.000000,38.950001,39.000000,39.000000,10985520
2020-03-25,39.799999,40.299999,39.150002,39.200001,39.200001,7808915
2020-03-26,39.500000,39.549999,38.599998,38.799999,38.799999,8562141
2020-03-27,39.400002,39.500000,38.700001,38.700001,38.700001,9776215
2020-03-30,38.500000,39.650002,37.750000,39.099998,39.099998,7208843
2020-03-31,39.150002,39.650002,39.150002,39.400002,39.400002,9009076
2020-04-01,39.500000,39.599998,38.599998,38.599998,38.599998,10825751
2020-04-06,39.000000,39.200001,38.099998,39.049999,39.049999,8446441
2020-04-07,39.400002,40.299999,39.299999,39.900002,39.900002,12131291
2020-04-08,40.000000,42.599998,40.000000,42.000000,42.000000,18093683
2020-04-09,42.049999,42.200001,41.349998,42.000000,42.000000,9348546
2020-04-10,41.700001,42.150002,41.650002,42.150002,42.150002,3657117
2020-04-13,42.000000,42.049999,41.599998,41.900002,41.900002,3744404
2020-04-14,41.900002,43.049999,41.849998,42.700001,42.700001,8964502
2020-04-15,43.000000,43.349998,42.750000,43.349998,43.349998,9753251
2020-04-16,42.799999,43.650002,42.650002,43.250000,43.250000,6691404
2020-04-17,43.299999,43.599998,43.000000,43.500000,43.500000,10307736
2020-04-20,43.099998,43.650002,43.049999,43.349998,43.349998,4017937
2020-04-21,43.049999,43.250000,42.000000,42.250000,42.250000,8294000
2020-04-22,41.599998,41.849998,41.299999,41.549999,41.549999,7654087
2020-04-23,41.549999,42.650002,41.349998,41.599998,41.599998,10165891
2020-04-24,41.650002,41.900002,41.400002,41.700001,41.700001,4432295
2020-04-27,42.150002,42.650002,42.000000,42.250000,42.250000,5327087
2020-04-28,42.299999,42.400002,41.849998,42.049999,42.049999,6543315
2020-04-29,42.349998,42.799999,42.299999,42.750000,42.750000,1250000
